key	text	tooltip
#Loc;1;text/ceo/general_items/@@ironic_ceo_south.loc		
ceo_nodes_title_3k_main_ceo_career_historical_kang_qinmeng_ironic	Strict Gentlewoman	true
ceo_nodes_description_3k_main_ceo_career_historical_kang_qinmeng_ironic	The Lady Kang's seemingly gentle demeanor hides a stern and disciplined heart.	true
ceo_nodes_title_3k_main_ancilliary_armour_kang_qinmeng_ironic_armour_unique	Kang Qinmeng's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_kang_qinmeng_ironic_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_yu_fan_ironic	Abrasive Advisor	true
ceo_nodes_description_3k_main_ceo_career_historical_yu_fan_ironic	Those with sensitive egos should beware of asking advice from Yu Fan. 	true
ceo_nodes_title_3k_main_ancilliary_armour_yu_fan_ironic_armour_unique	Yu Fan's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_yu_fan_ironic_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_wang_su_ironic	Influential Confucian	true
ceo_nodes_description_3k_main_ceo_career_historical_wang_su_ironic	An outspoken critic of some of the contemporary and modern philosophies and moral debates, Wang Su seeks to compile an archive of more traditional codes.	true
ceo_nodes_title_3k_main_ancilliary_armour_wang_su_ironic_armour_unique	Wang Su's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_wang_su_ironic_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_he_qi_ironic	Of Flashy Splendour	true
ceo_nodes_description_3k_main_ceo_career_historical_he_qi_ironic	Like a streak of lightning burning across a dark night sky, He Qi's extravagance and grandeur in battle are unmissable and unforgettable.	true
ceo_nodes_title_3k_main_ancilliary_armour_he_qi_ironic_armour_unique	He Qi's Armour	true
ceo_nodes_description_3k_main_ancilliary_armour_he_qi_ironic_armour_unique	The perfect weight and fit, tailored for this warrior of class and distinction.	true
ceo_nodes_title_3k_main_ceo_career_historical_si_cong_ironic	Friend of the Shanyue	true
ceo_nodes_description_3k_main_ceo_career_historical_si_cong_ironic	This local tough uses his connections to the hill folk to recruit muscle for his criminal endeavours.	true
ceo_nodes_title_3k_main_ceo_career_historical_han_yan_ironic	Promising Commandant 	true
ceo_nodes_description_3k_main_ceo_career_historical_han_yan_ironic	Han Yan has all the makings of a fine leader of local garrisons and militia.	true
ceo_nodes_title_3k_main_ceo_career_historical_yuan_zhong_ironic	Partisan of Integrity	true
ceo_nodes_description_3k_main_ceo_career_historical_yuan_zhong_ironic	A principled man who stands by his beliefs, Yuan Zhong is not afraid to offend others if it means winning a moral battle.	true
ceo_nodes_title_3k_main_ceo_career_historical_dong_xi_ironic	Courageous Commadore	true
ceo_nodes_description_3k_main_ceo_career_historical_dong_xi_ironic	"Draw blades and follow me, men! We'll fight them ship to ship!"	true
