key	text	tooltip
#Loc;1;text/db/factions/faction_resources/zhu_haoresource/all.loc		
effect_bundles_localised_title_ironic_unit_upgrades_earth_range_block	Earth Doctrine: Shield Discipline	false
effect_bundles_localised_description_ironic_unit_upgrades_earth_range_block	Shield drills beaten into the Earth ranks until raised shields answer the whistle of arrows without an order spoken.	false
effect_bundles_localised_title_ironic_unit_upgrades_earth_all_damage	Earth Doctrine: Crushing Blows	false
effect_bundles_localised_description_ironic_unit_upgrades_earth_all_damage	Zhu Jun taught that a blow worth striking is worth striking through. Earth units hit with the full weight of the old drills.	false
effect_bundles_localised_title_ironic_unit_upgrades_earth_speed	Earth Doctrine: Forced March	false
effect_bundles_localised_description_ironic_unit_upgrades_earth_speed	The old general's marching cadences, measured against the drum until Earth columns eat the road.	false
effect_bundles_localised_title_ironic_unit_upgrades_earth_armor	Earth Doctrine: Hardened Ranks	false
effect_bundles_localised_description_ironic_unit_upgrades_earth_armor	Lamellar checked plate by plate at every muster, as the old general demanded of his own guard.	false
effect_bundles_localised_title_ironic_unit_upgrades_fire_charge_bonus	Fire Doctrine: Furious Charge	false
effect_bundles_localised_description_ironic_unit_upgrades_fire_charge_bonus	The thunderclap charge Zhu Jun loosed at Wancheng, drilled into every Fire lance.	false
effect_bundles_localised_title_ironic_unit_upgrades_fire_speed	Fire Doctrine: Swift Advance	false
effect_bundles_localised_description_ironic_unit_upgrades_fire_speed	Fire columns advance at the old campaign pace: arrive first, choose the ground.	false
effect_bundles_localised_title_ironic_unit_upgrades_fire_armor	Fire Doctrine: Tempered Plate	false
effect_bundles_localised_description_ironic_unit_upgrades_fire_armor	Plate quenched and re-fitted after every action, by the old general's standing order.	false
effect_bundles_localised_title_ironic_unit_upgrades_fire_fatigue_rate	Fire Doctrine: Tireless Fervour	false
effect_bundles_localised_description_ironic_unit_upgrades_fire_fatigue_rate	March, fight, and march again. Fire units are conditioned to the old general's punishing tempo.	false
effect_bundles_localised_title_ironic_unit_upgrades_water_range_view	Water Doctrine: Far Sight	false
effect_bundles_localised_description_ironic_unit_upgrades_water_range_view	Crossbow lines sited from the high ground, as the old general always placed them.	false
effect_bundles_localised_title_ironic_unit_upgrades_water_ammo	Water Doctrine: Deep Quivers	false
effect_bundles_localised_description_ironic_unit_upgrades_water_ammo	No volley wasted, no quiver short. Supply discipline as strict as any battle drill.	false
effect_bundles_localised_title_ironic_unit_upgrades_water_range_block	Water Doctrine: Arrow Wards	false
effect_bundles_localised_description_ironic_unit_upgrades_water_range_block	Pavise and posture drilled until Water lines shrug off the counter-volley.	false
effect_bundles_localised_title_ironic_unit_upgrades_water_all_damage	Water Doctrine: Piercing Volleys	false
effect_bundles_localised_description_ironic_unit_upgrades_water_all_damage	Massed volleys timed to the drum, loosed as one, as the old general's manuals prescribe.	false
effect_bundles_localised_title_ironic_unit_upgrades_metal_speed	Metal Doctrine: Loping Stride	false
effect_bundles_localised_description_ironic_unit_upgrades_metal_speed	Metal companies trained to close distance at the wolf's pace, arriving with wind to spare.	false
effect_bundles_localised_title_ironic_unit_upgrades_metal_melee_evasion	Metal Doctrine: Sidestep	false
effect_bundles_localised_description_ironic_unit_upgrades_metal_melee_evasion	Slip the blow, answer it. The old general's duelling footwork taught to whole companies.	false
effect_bundles_localised_title_ironic_unit_upgrades_metal_attack_rate	Metal Doctrine: Frenzied Blows	false
effect_bundles_localised_description_ironic_unit_upgrades_metal_attack_rate	Strike on the count, and the count never stops. Metal units cut to the old drum's rhythm.	false
effect_bundles_localised_title_ironic_unit_upgrades_metal_charge_bonus	Metal Doctrine: Thunderous Charge	false
effect_bundles_localised_description_ironic_unit_upgrades_metal_charge_bonus	The hammer stroke Zhu Jun saved for the breaking point, delivered by Metal's finest.	false
effects_description_ironic_unit_upgrades_earth_all_damage	[[b]]%+n%[[/b]] all damage for all earth units	false
effects_description_ironic_unit_upgrades_earth_speed	[[b]]%+n%[[/b]] speed for all earth units	false
