key	text	tooltip
#Loc;1;text/db/buildings/unqiuebuildings/liu_yu.loc		
building_culture_variants_name_3k_district_artisan_labour_liu_yu_1	Drifter Workforce Camp	false
building_culture_variants_name_3k_district_artisan_labour_liu_yu_2	Temporary Labour Housing	false
building_culture_variants_name_3k_district_artisan_labour_liu_yu_3	Labourer Conscription Housing 	false
building_culture_variants_name_3k_district_artisan_labour_liu_yu_4	Permanent Labour Housing	false
building_culture_variants_name_3k_district_artisan_labour_liu_yu_5	Office of Works	false
building_culture_variants_name_3k_district_artisan_mines_liu_yu_4	Bureau of Mining Subsidiaries	false
building_culture_variants_name_3k_district_artisan_mines_liu_yu_5	Bureau of State Mining Expeditions	false
building_culture_variants_name_3k_district_artisan_labour_13k_main_faction_liu_yu	Drifter Workforce Camp	false
building_culture_variants_name_3k_district_artisan_labour_23k_main_faction_liu_yu	Temporary Labour Housing	false
building_culture_variants_name_3k_district_artisan_labour_33k_main_faction_liu_yu	Labourer Conscription Housing 	false
building_culture_variants_name_3k_district_artisan_labour_43k_main_faction_liu_yu	Permanent Labour Housing	false
building_culture_variants_name_3k_district_artisan_labour_53k_main_faction_liu_yu	Office of Works	false
building_culture_variants_name_3k_district_artisan_mines_43k_main_faction_liu_yu	Bureau of Mining Subsidiaries	false
building_culture_variants_name_3k_district_artisan_mines_53k_main_faction_liu_yu	Bureau of State Mining Expeditions	false
building_chains_chain_tooltip_ironic_liu_yu_labour_artisan	[[col:flavour]]Tribal Labour[[/col]]	false
building_chains_encyclopedia_description_ironic_liu_yu_labour_artisan	Tribal Labour	false
building_chains_encyclopedia_name_ironic_liu_yu_labour_artisan	Tribal Labour	false
building_chains_override_description_ironic_liu_yu_labour_artisan	Work provides a living wage, and the promise of homes for labourers will attract people to the area seeking stability against chaos.	false
