key	text	tooltip
#Loc;1;text/db/factions/faction_resources/liu_pan/liu_pan_resources.loc		
pooled_resources_display_name_ironic_liu_pan_ferocity	Ferocity	true
pooled_resources_description_ironic_liu_pan_ferocity	Liu Pan is fierce and brave, and the border counties will soon learn to fear his raids. Ferocity builds with every attack, every sacked town and every executed captive, and fades whenever his riders sit idle behind the walls of Lingxian.	true
pooled_resources_positive_factors_display_name_ironic_liu_pan_ferocity	Increase	true
pooled_resources_negative_factors_display_name_ironic_liu_pan_ferocity	Decrease	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_liu_pan_ferocity	 	true
pooled_resources_display_name_ironic_liu_pan_uncle_favour	Liu Biao's Favour	true
pooled_resources_description_ironic_liu_pan_uncle_favour	Liu Biao gave his nephew a free hand on the Changsha frontier. Loyal service keeps Xiangyang's coin and goodwill flowing; unchecked raiding and sacking make the uncle wonder what his kinsman is really building down south.	true
pooled_resources_positive_factors_display_name_ironic_liu_pan_uncle_favour	Increase	true
pooled_resources_negative_factors_display_name_ironic_liu_pan_uncle_favour	Decrease	true
pooled_resources_foreign_diplomacy_view_tooltip_ironic_liu_pan_uncle_favour	 	true
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_factor	Ferocity	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_factor	Ferocity	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_victory	Victories	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_victory	Victories	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_defeat	Defeats	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_defeat	Defeats	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_sacking	Sacked settlements	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_sacking	Sacked settlements	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_captives	Executed captives	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_captives	Executed captives	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_decay	Idle riders	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_decay	Idle riders	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_ferocity_raiding	Armies raiding	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_ferocity_raiding	Armies raiding	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_uncle_favour_factor	Favour	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_uncle_favour_factor	Favour	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_uncle_favour_vassal	Service to Liu Biao	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_uncle_favour_vassal	Service to Liu Biao	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_uncle_favour_war_service	Victories over Liu Biao's enemies	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_uncle_favour_war_service	Victories over Liu Biao's enemies	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_uncle_favour_sacking	Sacking	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_uncle_favour_sacking	Sacking	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_uncle_favour_ferocity_drain	Unchecked ferocity	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_uncle_favour_ferocity_drain	Unchecked ferocity	false
pooled_resource_factors_display_name_positive_ironic_liu_pan_uncle_favour_independence	Independence	false
pooled_resource_factors_display_name_negative_ironic_liu_pan_uncle_favour_independence	Independence	false
effects_description_ironic_liu_pan_ferocity_decay	[[b]]%+n[[/b]] Ferocity per turn (idle riders)	false
effects_value_format_ironic_liu_pan_ferocity_decay		false
effects_description_ironic_liu_pan_ferocity_raiding	[[b]]%+n[[/b]] Ferocity per turn while this army raids	false
effects_value_format_ironic_liu_pan_ferocity_raiding		false
effects_description_ironic_liu_pan_favour_drain	[[b]]%+n[[/b]] Liu Biao's Favour per turn (unchecked ferocity)	false
effects_value_format_ironic_liu_pan_favour_drain		false
effects_description_ironic_liu_pan_favour_vassal	[[b]]%+n[[/b]] Liu Biao's Favour per turn (service as his vassal)	false
effects_value_format_ironic_liu_pan_favour_vassal		false
effects_description_ironic_liu_pan_favour_alone	[[b]]%+n[[/b]] Liu Biao's Favour per turn (no longer his vassal)	false
effects_value_format_ironic_liu_pan_favour_alone		false
effects_description_ironic_liu_pan_dummy_ferocity	Ferocity is Liu Pan's raiding momentum: attacks, sacking and executions raise it, idleness lowers it.	false
effects_value_format_ironic_liu_pan_dummy_ferocity		false
effects_description_ironic_liu_pan_dummy_favour	Liu Biao's Favour measures how far Xiangyang still trusts its nephew on the frontier.	false
effects_value_format_ironic_liu_pan_dummy_favour		false
effects_description_ironic_liu_pan_raider_upkeep	[[b]]%+n%[[/b]] upkeep for Changsha Raiders and Changsha Stalkers	false
effects_value_format_ironic_liu_pan_raider_upkeep		false
effect_bundles_localised_title_ironic_liu_pan_ferocity_level_0	Ferocity: Dormant	true
effect_bundles_localised_description_ironic_liu_pan_ferocity_level_0	Liu Pan's riders wait behind the walls of Lingxian. Nobody across the border has heard from him in a season.	true
effect_bundles_localised_title_ironic_liu_pan_ferocity_level_1	Ferocity: Restless	true
effect_bundles_localised_description_ironic_liu_pan_ferocity_level_1	Scouts range across the border again. The raiders ride a little faster and come home a little richer.	true
effect_bundles_localised_title_ironic_liu_pan_ferocity_level_2	Ferocity: Fierce	true
effect_bundles_localised_description_ironic_liu_pan_ferocity_level_2	Border towns bar their gates at dusk. Supplies are taken from the land, and the men fight harder on foreign soil, though the peasants at home grumble at the levies.	true
effect_bundles_localised_title_ironic_liu_pan_ferocity_level_3	Ferocity: Dreaded	true
effect_bundles_localised_description_ironic_liu_pan_ferocity_level_3	Enemy captains speak Liu Pan's name with irritation. His columns replenish in enemy land and strike from ambush, but Xiangyang begins to ask what its nephew is doing down south.	true
effect_bundles_localised_title_ironic_liu_pan_ferocity_level_4	Ferocity: Scourge of the South	true
effect_bundles_localised_description_ironic_liu_pan_ferocity_level_4	Whole counties are reorganised just to contain him. Every raid is faster, richer and better hidden, and Liu Biao's patience grows thinner with each one.	true
effect_bundles_localised_title_ironic_liu_pan_ferocity_level_5	Ferocity: Terror of the South	true
effect_bundles_localised_description_ironic_liu_pan_ferocity_level_5	It would take a general of rare quality to hold him now. The Changsha bands are cheap to keep and impossible to catch, and the uncle who set him loose no longer trusts him.	true
effect_bundles_localised_title_ironic_liu_pan_uncle_favour_level_0	Favour: Estranged	true
effect_bundles_localised_description_ironic_liu_pan_uncle_favour_level_0	Xiangyang has stopped answering Liu Pan's letters. No coin, no goodwill, and a court that quietly wonders whether the nephew has gone his own way.	true
effect_bundles_localised_title_ironic_liu_pan_uncle_favour_level_1	Favour: Tolerated	true
effect_bundles_localised_description_ironic_liu_pan_uncle_favour_level_1	Liu Biao lets his nephew be. The frontier is quiet enough, and quiet is all the governor of Jing asks for.	true
effect_bundles_localised_title_ironic_liu_pan_uncle_favour_level_2	Favour: Trusted Kinsman	true
